iter	Passed	Remaining
411	4249	907
412	4261	897
413	4273	887
414	4286	877
415	4298	868
416	4310	858
417	4323	848
418	4336	838
419	4347	828
420	4358	817
421	4370	807
422	4381	797
423	4392	787
424	4402	776
425	4414	766
426	4426	756
427	4437	746
428	4449	736
429	4462	726
430	4472	716
431	4483	705
432	4495	695
433	4506	685
434	4518	675
435	4530	665
436	4542	654
437	4554	644
438	4566	634
439	4578	624
440	4591	614
441	4603	604
442	4615	593
443	4627	583
444	4639	573
445	4650	563
446	4662	552
447	4675	542
448	4687	532
449	4700	522
450	4712	511
451	4724	501
452	4736	491
453	4747	481
454	4759	470
455	4770	460
456	4783	450
457	4794	439
458	4807	429
459	4819	419
460	4831	408
461	4843	398
462	4855	388
463	4867	377
464	4879	367
465	4890	356
466	4901	346
467	4912	335
468	4924	325
469	4935	315
470	4947	304
471	4958	294
472	4969	283
473	4980	273
474	4992	262
475	5003	252
476	5014	241
477	5025	231
478	5035	220
479	5046	210
480	5057	199
481	5070	189
482	5081	178
483	5092	168
484	5103	157
485	5115	147
486	5125	136
487	5136	126
488	5148	115
489	5159	105
490	5171	94
491	5182	84
492	5193	73
493	5205	63
494	5217	52
495	5230	42
496	5242	31
497	5253	21
498	5265	10
499	5276	0
