iter	Accuracy	MultiClass
116	0.9592553565	0.1722668447
117	0.9596066034	0.1713255723
118	0.9603090973	0.1704912023
119	0.9603090973	0.1697697094
120	0.961714085	0.1688419779
121	0.9610115911	0.1677748202
122	0.9606603442	0.1670102699
123	0.9613628381	0.1654538284
124	0.9610115911	0.1646730095
125	0.9613628381	0.1639181807
126	0.9613628381	0.1629751404
127	0.9624165789	0.1619618245
128	0.9624165789	0.1613805437
129	0.9620653319	0.160739129
130	0.9620653319	0.1603143665
131	0.9634703196	0.1598699456
132	0.9648753073	0.1590014291
133	0.9648753073	0.1584799129
134	0.9645240604	0.1579216322
135	0.9648753073	0.1568491798
136	0.9648753073	0.1562187035
137	0.9652265543	0.1555515879
138	0.9652265543	0.1552188248
139	0.9652265543	0.1545643529
140	0.9652265543	0.154065261
141	0.9655778012	0.1537140816
142	0.9659290481	0.1526259366
143	0.9655778012	0.1520715944
144	0.9659290481	0.1510875809
145	0.966280295	0.1500239745
146	0.966631542	0.1492065181
147	0.9669827889	0.1485924896
148	0.9680365297	0.1480321988
149	0.9687390235	0.147440499
150	0.9687390235	0.1470401492
151	0.9690902705	0.1465026245
152	0.9694415174	0.1459809086
153	0.9697927643	0.1454855723
154	0.9704952582	0.1447580798
155	0.9701440112	0.1443203774
156	0.9694415174	0.1438526528
157	0.9701440112	0.143235538
158	0.9704952582	0.1427195143
159	0.9701440112	0.1417881556
160	0.9704952582	0.1411747971
161	0.9704952582	0.1407560348
162	0.9704952582	0.14040208
163	0.9708465051	0.1402250961
164	0.9704952582	0.1395622244
165	0.9715489989	0.1389475049
166	0.9715489989	0.1383641628
167	0.9715489989	0.1381205263
168	0.9715489989	0.1376554652
169	0.971197752	0.137200875
170	0.9715489989	0.1362471358
171	0.971197752	0.1350407751
172	0.971197752	0.1347334485
173	0.9719002459	0.1342112315
174	0.9722514928	0.133484467
175	0.9722514928	0.1329105228
176	0.9726027397	0.1326103461
177	0.9722514928	0.1320181751
178	0.9726027397	0.1314693086
179	0.9733052336	0.1308196613
180	0.9736564805	0.1302295951
181	0.9736564805	0.1297689244
182	0.9740077274	0.1290879922
183	0.9733052336	0.1286179383
184	0.9743589744	0.1279344051
185	0.9743589744	0.1273354296
186	0.9750614682	0.1268308358
187	0.9743589744	0.1262516565
188	0.9747102213	0.1257299992
189	0.9754127151	0.1253419321
190	0.9757639621	0.125003729
191	0.976115209	0.1245399123
192	0.9754127151	0.1240936075
193	0.9754127151	0.1237515786
194	0.9750614682	0.1231947991
195	0.9754127151	0.1224047694
196	0.976115209	0.1215812522
197	0.9764664559	0.1212561813
198	0.9764664559	0.1206374396
199	0.9771689498	0.1204432913
200	0.9771689498	0.1199611973
201	0.9771689498	0.1195822879
202	0.9775201967	0.119291293
203	0.9771689498	0.1190500025
204	0.9771689498	0.1188431495
205	0.9768177028	0.1186038799
206	0.9771689498	0.1183284773
207	0.9775201967	0.1179516978
208	0.9775201967	0.1175541866
209	0.9778714436	0.1166891851
210	0.9782226906	0.1161204913
211	0.9782226906	0.1158272879
212	0.9782226906	0.1156369198
213	0.9785739375	0.1152898507
214	0.9785739375	0.1150903986
215	0.9785739375	0.1145833981
216	0.9785739375	0.1139705265
217	0.9785739375	0.113556245
218	0.9785739375	0.1129446485
219	0.9785739375	0.1126879124
220	0.9789251844	0.1123151699
221	0.9789251844	0.1121097487
222	0.9789251844	0.1116985205
223	0.9792764313	0.1113680257
224	0.9799789252	0.1112110879
225	0.9799789252	0.1109382183
226	0.980681419	0.1103378438
227	0.980681419	0.1101581137
228	0.980681419	0.1099623702
229	0.981032666	0.1096627399
230	0.980681419	0.1093081972
231	0.981032666	0.1088366431
232	0.9813839129	0.1086595614
233	0.9820864067	0.1080241488
234	0.9820864067	0.1077628972
235	0.9820864067	0.1075960148
236	0.9817351598	0.1072782991
237	0.9817351598	0.1068610939
238	0.9820864067	0.1066687702
239	0.9820864067	0.1063353706
240	0.9824376537	0.1059961087
241	0.9824376537	0.1054373739
242	0.9831401475	0.104970046
243	0.9831401475	0.1046144338
244	0.9831401475	0.1044565787
245	0.9834913945	0.1041372905
246	0.9834913945	0.1038842468
247	0.9834913945	0.103363263
248	0.9834913945	0.102951945
249	0.9834913945	0.1026874684
250	0.9834913945	0.1024596704
251	0.9834913945	0.101938223
252	0.9834913945	0.1017648445
253	0.9834913945	0.1015069504
254	0.9838426414	0.1012193602
255	0.9838426414	0.1009358952
256	0.9841938883	0.1007062529
257	0.9838426414	0.100384934
258	0.9845451352	0.1000094749
259	0.9845451352	0.09972173449
260	0.9845451352	0.09947597965
261	0.9848963822	0.09924454033
262	0.9848963822	0.09908133881
263	0.9848963822	0.09882508809
264	0.9848963822	0.09861997316
265	0.9848963822	0.09833219196
266	0.9848963822	0.09812958405
267	0.9852476291	0.09776557979
268	0.9848963822	0.09759377732
269	0.9852476291	0.09725580637
270	0.9852476291	0.09713819271
271	0.985598876	0.09691726157
272	0.985598876	0.09675642976
273	0.985598876	0.09646265366
274	0.985598876	0.09619849401
275	0.985598876	0.09601328371
276	0.9859501229	0.09565970967
277	0.985598876	0.09537541441
278	0.9859501229	0.09518041342
279	0.9859501229	0.09495606104
280	0.9863013699	0.09456751709
281	0.9863013699	0.09438176954
282	0.9863013699	0.09400165659
283	0.9863013699	0.0937142048
284	0.9866526168	0.0932694565
285	0.9863013699	0.09299371298
286	0.9866526168	0.09249777976
287	0.9870038637	0.09223222707
288	0.9870038637	0.0920377884
289	0.9870038637	0.09175235594
290	0.9870038637	0.091626356
291	0.9866526168	0.09133463576
292	0.9870038637	0.09106081227
293	0.9877063576	0.09072045508
294	0.9877063576	0.09036016428
295	0.9877063576	0.09013551411
296	0.9873551106	0.08980251751
297	0.9873551106	0.08949050407
298	0.9873551106	0.08932969605
299	0.9873551106	0.08911623426
300	0.9877063576	0.08885757283
301	0.9873551106	0.08867016712
302	0.9880576045	0.08849528048
303	0.9877063576	0.08833204697
304	0.9877063576	0.08812177134
305	0.9877063576	0.08782769677
306	0.9877063576	0.08775026775
307	0.9877063576	0.08759996519
308	0.9887600983	0.08720172405
309	0.9884088514	0.08691715233
310	0.9884088514	0.0867504244
311	0.9880576045	0.08659786527
312	0.9884088514	0.0863157001
313	0.9887600983	0.0859835115
314	0.9884088514	0.08582717871
315	0.9884088514	0.0855927039
316	0.9887600983	0.08525427966
317	0.9887600983	0.08502023892
318	0.9887600983	0.08480489309
319	0.9887600983	0.0845607816
320	0.9887600983	0.08440044632
321	0.9891113453	0.084320741
322	0.9891113453	0.08411125961
323	0.9891113453	0.08394053226
324	0.9891113453	0.08369499511
325	0.9891113453	0.08330616431
326	0.9894625922	0.08314981972
327	0.9894625922	0.08290589091
328	0.9898138391	0.08269119251
329	0.9901650861	0.08256599507
330	0.9898138391	0.08240094965
331	0.9901650861	0.08211704618
332	0.9898138391	0.08194761277
333	0.9898138391	0.08177156609
334	0.9898138391	0.08165691883
335	0.9898138391	0.08148914647
336	0.990516333	0.08135011788
337	0.990516333	0.08116277373
338	0.990516333	0.08103097294
339	0.990516333	0.08085677577
340	0.990516333	0.08070024618
341	0.990516333	0.08048696198
342	0.9908675799	0.08033793414
343	0.9908675799	0.08012776062
344	0.9908675799	0.07983259327
345	0.9908675799	0.07972185344
346	0.9912188268	0.0795604564
347	0.9912188268	0.07934033121
348	0.9915700738	0.07917189543
349	0.9919213207	0.07903225836
350	0.9919213207	0.07882068661
351	0.9919213207	0.07871799483
352	0.9919213207	0.07856082836
353	0.9922725676	0.07831217947
354	0.9922725676	0.07816533865
355	0.9922725676	0.0779110313
356	0.9922725676	0.0777110846
357	0.9922725676	0.07743935508
358	0.9922725676	0.0773226306
359	0.9922725676	0.07713449804
360	0.9922725676	0.07686808449
361	0.9926238145	0.07666555154
362	0.9926238145	0.07653306361
363	0.9926238145	0.07641721336
364	0.9926238145	0.07629923869
365	0.9926238145	0.07619666139
366	0.9926238145	0.07607846972
367	0.9926238145	0.0758951414
368	0.9926238145	0.07581612804
369	0.9926238145	0.07570054974
370	0.9926238145	0.07555434307
371	0.9926238145	0.07541181143
372	0.9926238145	0.07530416897
373	0.9926238145	0.07515909929
374	0.9926238145	0.07498372348
375	0.9926238145	0.07488077411
376	0.9926238145	0.07469132582
377	0.9926238145	0.07455772479
378	0.9929750615	0.07443192096
379	0.9926238145	0.07432440569
380	0.9929750615	0.07419196095
381	0.9929750615	0.07401667744
382	0.9929750615	0.07388183454
383	0.9929750615	0.07382436729
384	0.9933263084	0.07359126424
385	0.9936775553	0.07351636714
386	0.9936775553	0.07344748798
387	0.9936775553	0.07332936547
388	0.9933263084	0.07316604648
389	0.9933263084	0.07304320095
390	0.9936775553	0.07292361332
391	0.9940288022	0.07276338997
392	0.9943800492	0.07258725936
393	0.9943800492	0.07248894265
394	0.9943800492	0.07226720676
395	0.9943800492	0.07216908511
396	0.9940288022	0.07203119795
397	0.9943800492	0.07181429006
398	0.9940288022	0.07162086621
399	0.9940288022	0.07148991809
400	0.9940288022	0.07141730516
401	0.9943800492	0.0712883975
402	0.9943800492	0.07115507808
403	0.9943800492	0.07106786612
404	0.9943800492	0.07092938246
405	0.9943800492	0.07067544615
406	0.9943800492	0.07044590715
407	0.9943800492	0.07017883126
408	0.9943800492	0.07003428607
409	0.9943800492	0.06989534225
410	0.9943800492	0.0697142693
411	0.9943800492	0.06963907883
412	0.9943800492	0.06949412743
413	0.9940288022	0.06929615502
414	0.9943800492	0.06912331374
415	0.9943800492	0.06903468708
416	0.9943800492	0.06889188373
417	0.9947312961	0.06876452819
418	0.9947312961	0.06853254885
419	0.9947312961	0.0683347728
420	0.9947312961	0.06830233756
421	0.9947312961	0.06815636696
422	0.9947312961	0.06807152552
423	0.995082543	0.06795426537
424	0.995082543	0.06770329204
425	0.995082543	0.06766715449
426	0.99543379	0.06750207103
427	0.99543379	0.06738094176
428	0.99543379	0.06720481261
429	0.99543379	0.06703156445
430	0.99543379	0.06690406606
431	0.99543379	0.06670389733
432	0.99543379	0.0664921667
433	0.99543379	0.06638787349
434	0.99543379	0.06630445182
435	0.99543379	0.0662246261
436	0.99543379	0.06612762096
437	0.99543379	0.06599443434
438	0.99543379	0.06576253913
439	0.995082543	0.06568154724
440	0.99543379	0.06554738228
441	0.99543379	0.06543818968
442	0.99543379	0.06525015757
443	0.99543379	0.06514390515
444	0.99543379	0.06498688985
445	0.99543379	0.06481137486
446	0.99543379	0.06467612388
447	0.9957850369	0.06456361231
448	0.9957850369	0.06446527546
449	0.9957850369	0.06426692704
450	0.9957850369	0.06415938303
451	0.9957850369	0.06402498471
452	0.99543379	0.06388962869
453	0.9957850369	0.06380425766
454	0.9957850369	0.06369915796
455	0.9957850369	0.0635829822
456	0.9957850369	0.06347006384
457	0.9957850369	0.06336598189
458	0.9957850369	0.06328970145
459	0.9957850369	0.06319520681
460	0.9957850369	0.0630868593
461	0.9957850369	0.06304063145
462	0.9957850369	0.06295503698
463	0.9957850369	0.06285302028
464	0.9957850369	0.06275523721
465	0.9957850369	0.06264066308
466	0.9957850369	0.06253863092
467	0.9957850369	0.06248726349
468	0.9957850369	0.06234790225
469	0.9957850369	0.06223240781
470	0.9957850369	0.06213615235
471	0.9957850369	0.06207968708
472	0.9957850369	0.0620250776
473	0.9957850369	0.06197958734
474	0.9957850369	0.06182708805
475	0.9957850369	0.06178137441
476	0.9957850369	0.06163090035
477	0.9957850369	0.06155230917
478	0.9957850369	0.06138341177
479	0.9957850369	0.06128466819
480	0.9961362838	0.06119981794
481	0.9961362838	0.06107389501
482	0.9961362838	0.06092692578
483	0.9961362838	0.0608357596
484	0.9961362838	0.06067861445
485	0.9961362838	0.0604470315
486	0.9961362838	0.06035668889
487	0.9961362838	0.06016928209
488	0.9961362838	0.0600502844
489	0.9964875307	0.05994096829
490	0.9964875307	0.05979310817
491	0.9964875307	0.0597237263
492	0.9964875307	0.05963948906
493	0.9964875307	0.05941059289
494	0.9964875307	0.0593231901
495	0.9964875307	0.05923801231
496	0.9964875307	0.05910661576
497	0.9964875307	0.05900922716
498	0.9964875307	0.05881544235
499	0.9964875307	0.05870201852
